id,gpt_4o_mini_status,llama_3_1_status,llama_3_7_status,gpt_4o_mini_type,llama_3_1_type,llama_3_7_type,verified
ff81e983-0f9a-4462-bdc6-61f111802db0,processed,processed,processed,other,other,other,True
2aad54bc-a35a-4b1d-ac70-adb9cf9f8da6,processed,processed,processed,other,other,other,True
9574d327-2eae-4511-9d1b-4a34248d0ada,processed,processed,processed,other,other,other,True
a4157247-efaa-4324-8362-484c6845f268,processed,processed,processed,other,other,other,True
1b3fe707-daea-4d6d-a725-f723a7ffb001,processed,processed,processed,other,other,other,True
b818cda5-7677-4121-ae05-65142b75d2cb,processed,processed,processed,other,other,other,True
48160759-2d16-4420-99d3-93c3d63b98d2,processed,processed,processed,other,other,other,True
2d2d5ab8-34c2-46ff-8e64-5fc14094298e,processed,processed,processed,other,other,other,True
e715b180-9f0d-48c6-9199-53b55f4fb7d4,processed,processed,processed,other,other,other,True
c88d7b13-6d5a-484b-8a79-c2b897a5e2f4,processed,processed,processed,other,other,other,True
687fec1d-96b1-45a3-8837-c93c8e96cbef,processed,processed,processed,other,other,other,True
d66c3ece-47e7-4130-ae93-402d0bf3f4ef,processed,processed,processed,other,other,other,True
7272b22f-b5a7-43c0-a873-fee6f8b7f5d8,processed,processed,processed,other,other,other,True
ab23ffe8-27d7-4158-90d3-ea6ceec6bb46,processed,processed,processed,other,other,other,True
ca12dcc8-346d-4222-9ab2-00a68aa47743,processed,processed,processed,other,other,other,True
c936c454-eb12-4fb4-aee3-0120eaac153d,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
dbb86081-e21f-4af6-beda-f806da724d1b,processed,processed,processed,auctions,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,False
256f8252-46a9-469e-ab43-2fb2adda4dfb,processed,processed,processed,other,other,other,True
21fe9332-8b27-473a-92c2-bb3637efe602,processed,processed,processed,other,other,other,True
d6355ffb-084a-444e-ad0f-35fdf2bd6758,processed,processed,processed,other,lis_pendens_or_notice_of_default,lis_pendens_or_notice_of_default,False
8d255930-c6c5-477c-bddb-dd95268bc9b1,processed,processed,processed,other,lis_pendens_or_notice_of_default,lis_pendens_or_notice_of_default,False
35eae123-d6a7-4b5f-8371-0033290549b4,processed,processed,processed,real_estate_foreclosure,real_estate_foreclosure,real_estate_foreclosure,True
1dc56ee4-3524-420c-8a36-bfc4c6b98f7f,processed,processed,processed,storage_foreclosure,storage_foreclosure,storage_foreclosure,True
aa9ec732-2e92-4b38-af42-de89dd2d5de8,processed,processed,processed,real_estate_foreclosure,real_estate_foreclosure,real_estate_foreclosure,True
1f2c01fe-eb8c-4c95-99f0-f3dfcb03dcb8,processed,processed,processed,other,other,other,True
f1afaa53-f00f-44af-8a4a-b8a1d225a248,processed,processed,processed,other,other,other,True
3a5f5fde-8c8b-414e-894f-f4d99f589bec,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
6abfb31a-acc0-479c-9cfb-3545827ef674,processed,processed,processed,other,other,other,True
25a4e825-8290-4f70-b4fa-b4c7395a5d61,processed,processed,processed,other,other,other,True
6cbc619d-af31-49e8-93cd-436800db0874,processed,processed,processed,probate,probate,probate,True
178c1892-3a6f-4368-8785-138c65681d24,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
ecadfe21-400e-436c-ba61-348ed7832368,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
fe2fcac0-5958-421d-af07-0f57d5d08454,processed,processed,processed,other,other,other,True
4b4aa53f-bf7e-4b4d-a99d-985d0b79958e,processed,processed,processed,probate,probate,probate,True
9a7f40fe-4ba0-41ee-9d64-88eea84a469d,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
fce7f15d-e1ef-4aa8-8dc0-6ef8276932bb,processed,processed,processed,other,other,other,True
a98f3071-724c-43e7-8141-e72d353d4522,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
61154219-e91f-4d06-82d7-7b7136996293,processed,processed,processed,other,other,other,True
d8f1f090-e502-4cf4-8802-58a50fb6a719,processed,processed,processed,real_estate_foreclosure,real_estate_foreclosure,real_estate_foreclosure,True
0d74f8e0-5038-499b-8167-31aaa7e886d1,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
e948e178-750c-4068-b59f-80c4d38b2f01,processed,processed,processed,other,other,other,True
17f72ad0-3ba6-40f9-a8f7-c62ec5be56c7,processed,processed,processed,other,other,other,True
ea8cb081-c54d-4079-b12c-05958637c1c9,processed,processed,processed,probate,probate,probate,True
432a9d37-c830-4564-96da-7479328ac78c,processed,processed,processed,probate,probate,probate,True
9f974fa1-a4d2-43b2-a3f0-17cc3cb5e8af,processed,processed,processed,other,other,other,True
662f1701-7a69-4b30-b820-be1418030161,processed,processed,processed,probate,probate,probate,True
0349a0c8-1579-4b40-b29a-b93cea759866,processed,processed,processed,storage_foreclosure,storage_foreclosure,storage_foreclosure,True
e5384f26-4189-4adf-956a-f33680fe89d3,processed,processed,processed,probate,probate,probate,True
586df1dd-7de0-46ee-ae08-6fd18362d830,processed,processed,processed,probate,probate,probate,True
71387716-b777-4c47-83ca-1b7cb11ded0c,processed,processed,processed,other,other,other,True
bf1e4e2d-6ecf-4ab7-a0e1-b0dc8cefb70b,processed,processed,processed,real_estate_foreclosure,real_estate_foreclosure,real_estate_foreclosure,True
e7f718a3-3494-404a-81e9-442c45dcefc9,processed,processed,processed,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,car_or_vehicle_foreclosure,True
a8d6a0d6-965a-4d98-9454-f9fce52e7bbe,processed,processed,processed,probate,probate,probate,True
a0cf8164-3036-4b59-8d80-98cd1c171623,processed,processed,processed,other,other,other,True
44b59b30-abf1-4a63-915b-212dd6ed5af5,processed,processed,processed,other,auctions,auctions,False
0189a1c7-a3a2-4782-b205-91399d7eb550,processed,processed,processed,other,other,other,True
eb2334f0-f029-4a3c-9f6f-47348a52b51a,processed,processed,processed,probate,probate,probate,True
f2142a16-45f5-4538-a731-9b2871e1b5dc,processed,processed,processed,probate,probate,probate,True
e85465b3-4f1d-4ab9-90e9-20605adfe7e5,processed,processed,processed,other,other,other,True
0064f27d-b324-4af8-b454-82b8d6ba82f9,processed,processed,processed,auctions,auctions,auctions,True
